"","BBAS3 ","BBDC3 ","",""
"171","22.2","12.193","1.57467075365274","OpenRight"
"172","23.4","12.405","1.57467075365274","OpenRight"
"173","24.2","12.663","1.57467075365274","OpenRight"
"174","23.79","12.588","1.57467075365274","OpenRight"
"175","23.13","12.362","1.57467075365274","OpenRight"
"176","23.34","12.598","1.57467075365274","OpenRight"
"177","23.1","12.621","1.57467075365274","OpenRight"
"178","22.4","12.489","1.57467075365274","OutRight"
"179","22.5","12.494","1.57467075365274","Fora"
"180","21.95","12.692","1.57467075365274","OpenLeft"
"181","21.49","12.428","1.57467075365274","OpenLeft"
"182","22.24","12.414","1.57467075365274","OpenLeft"
"183","22.6","12.48","1.57467075365274","OpenLeft"
"184","22.45","12.457","1.57467075365274","OpenLeft"
"185","20.46","11.977","1.57467075365274","OpenLeft"
"186","21.83","11.516","1.57467075365274","OutLeft"
"187","19.9","11.136","1.57467075365274","Fora"
"188","21","11.939","1.57467075365274","Fora"
"189","22.98","12.668","1.57467075365274","Fora"
"190","22","12.433","1.57467075365274","Fora"
"191","22.29","12.221","1.57467075365274","Fora"
"192","22.2","12.033","1.57467075365274","Fora"
"193","22.8","12.457","1.57467075365274","Fora"
"194","22.75","12.645","1.57467075365274","Fora"
"195","20.47","11.751","1.57467075365274","OpenLeft"
"196","22.75","12.645","1.57467075365274","OpenLeft"
"197","22.5","12.781","1.57467075365274","OpenLeft"
"198","20.3","12.358","1.57467075365274","OpenLeft"
"199","19","11.361","1.57467075365274","OpenLeft"
"200","17.63","10.623","1.57467075365274","OpenLeft"
"201","16.6","10.576","1.57467075365274","OpenLeft"
"202","15.9","10.764","1.57467075365274","OpenLeft"
"203","14.65","9.73","1.57467075365274","OpenLeft"
"204","14","9.584","1.57467075365274","OpenLeft"
"205","16.9","11.187","1.57467075365274","OpenLeft"
"206","17.99","11.751","1.57467075365274","OpenLeft"
"207","16.11","10.811","1.57467075365274","OpenLeft"
"208","15.35","10.257","1.57467075365274","OpenLeft"
"209","15.09","9.937","1.57467075365274","OpenLeft"
"210","16.6","10.67","1.57467075365274","OpenLeft"
"211","16.4","10.069","1.57467075365274","OutLeft"
"212","13.88","9.349","1.57467075365274","OpenLeft"
"213","13.09","8.696","1.57467075365274","OpenLeft"
"214","12.75","7.892","1.57467075365274","OutLeft"
"215","11.7","7.709","1.57467075365274","Fora"
"216","13.25","8.696","1.57467075365274","Fora"
"217","14","9.119","1.57467075365274","Fora"
"218","14.66","10.337","1.57467075365274","OpenLeft"
"219","14.77","10.337","1.57467075365274","OpenLeft"
"220","14.32","10.29","1.57467075365274","OpenLeft"
"221","16.56","10.576","1.57467075365274","OutLeft"
"222","16.05","9.66","1.57467075365274","OpenRight"
"223","15","9.429","1.57467075365274","OpenRight"
"224","15.3","8.978","1.57467075365274","OpenRight"
"225","14.41","9.537","1.57467075365274","OutRight"
"226","14.24","9.472","1.57467075365274","Fora"
"227","13.19","8.795","1.57467075365274","Fora"
"228","14.1","9.411","1.57467075365274","Fora"
"229","13.94","9.26","1.57467075365274","Fora"
